name,quantity,region,service_id,sku,"total_price, USD",notes
CPU Allocation Time (tier 2),3750000.0,global,152E-C115-5142,085C-A237-027A,0.126,
Memory Allocation Time (tier 2),3787500.0,global,152E-C115-5142,600C-3782-6708,0.01326,
Requests,1000000.0,global,152E-C115-5142,2DA5-55D3-E679,0,
Cloud Firestore Read Ops Jakarta,3041666.666666667,asia-southeast2,F17B-412E-CB64,5E9C-952D-A879,0.57792,
Cloud Firestore Entity Writes Jakarta,1520833.3333333335,asia-southeast2,F17B-412E-CB64,0518-9538-C614,1.04938,
Cloud Firestore Entity Deletes Jakarta,304166.6666666667,asia-southeast2,F17B-412E-CB64,C22A-D047-FA5F,0,
Cloud Firestore Storage Jakarta,30.0,asia-southeast2,F17B-412E-CB64,7D87-7C62-0BDF,5.17242,
Standard Storage Jakarta,50.0,asia-southeast2,95FF-2EF5-5EA1,DB0A-37C5-4E19,1.07102,
,,,,,,
,,,,Total Price:,8.00999,
,,,,,,
"Prices are in US dollars, effective date is 2024-05-26T13:11:45.633Z",,,,,,
,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,
,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CiQ1ZmYyNmMzOC03ZjcwLTRiODQtYTcxYS0xMmYwMTY5NzdlN2U=,,,,,,
