name,quantity,region,service_id,sku,"total_price, USD",notes
CPU Allocation Time (tier 2),3750000.0,global,152E-C115-5142,085C-A237-027A,0.126,
Memory Allocation Time (tier 2),7500000.0,global,152E-C115-5142,600C-3782-6708,0.02625,
Requests,1000000.0,global,152E-C115-5142,2DA5-55D3-E679,0,
Cloud SQL for MySQL: Zonal - Micro instance in Jakarta,730.0,asia-southeast2,9662-B51E-5089,7FB4-4536-69D4,10.001,
Cloud SQL for MySQL: Zonal - Standard storage in Jakarta,21900.0,asia-southeast2,9662-B51E-5089,E969-FD43-DE2D,6.17467,
Standard Storage Jakarta,100.0,asia-southeast2,95FF-2EF5-5EA1,DB0A-37C5-4E19,2.14204,
,,,,,,
,,,,Total Price:,18.46996,
,,,,,,
"Prices are in US dollars, effective date is 2024-06-01T13:09:18.244Z",,,,,,
,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,
,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CiRiZjkyMjM0Mi0wYjZhLTQ0MzktOGI3Ny00NGIxMDQ4NTVmZGM=,,,,,,
